역명,상세주소,Latitude,Longitude
서울,서울특별시 중구 봉래동2가 122 서울역(1호선),37.5574069,126.9694999
시청,서울특별시 중구 정동 5-5 시청역(1호선),37.5657037,126.9768616
종각,서울특별시 종로구 종로1가 54 종각지하철역사,37.570178,126.983116
종로3가,서울특별시 종로3가 10-5  1호선 종로3가역(1호선),37.570432,126.99219
종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,37.5708307,127.0023506
동대문,서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),37.5717398,127.0111585
신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),37.5760874,127.0245602
제기동,서울특별시 동대문구 제기동 65 제기동역,37.5781758,127.0345907
청량리(서울시립대입구),서울특별시 동대문구 전농동 620-69 청량리역,37.5797844,127.0459903
동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),37.5733383,127.0162228
을지로입구,서울특별시 중구 을지로1가 100-1 을지로입구역,37.566065,126.982679
을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),37.56617,126.9902025
을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),37.56662,126.997631
동대문역사문화공원,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.5657177,127.0084849
신당,서울특별시 중구 신당동 99 신당역(2호선),37.5656465,127.0196049
상왕십리,서울특별시 성동구 하왕십리동 946-14 상왕십리역,37.56408,127.02986
왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(2호선),37.5615,127.038526
한양대,서울특별시 성동구 행당동 산17 17 한양대역,37.5555961,127.0436859
뚝섬,서울특별시 성동구 성수동1가 656-745 뚝섬역,37.5471773,127.0473802
성수,서울특별시 성동구 성수동2가 300-1 성수역,37.5445389,127.0569347
건대입구,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),37.5407618,127.0690169
구의(광진구청),서울특별시 광진구 구의동 245-24 2호선 구의역,37.5382826,127.0907553
강변(동서울터미널),서울특별시 광진구 구의동 546-6 2호선 강변역,37.535152,127.094689
잠실나루,서울특별시 송파구 신천동 15 잠실나루역,37.520669,127.103839
잠실(송파구청),서울특별시 송파구 잠실동 8 잠실역(2호선),37.515194,127.0948475
잠실새내,서울특별시 송파구 잠실동 33 잠실새내역,37.51145,127.08489
종합운동장,서울특별시 송파구 잠실동 122 종합운동장역,37.5110736,127.0742826
삼성(무역센터),서울특별시 강남구 삼성동 172-66 삼성역,37.5088263,127.0630673
선릉,서울특별시 강남구 삼성동 172-66 선릉역,37.5088263,127.0630673
역삼,서울특별시 강남구 역삼동 804 역삼역,37.4981284,127.028303
강남,서울특별시 강남구 역삼동 858 강남역,37.4970172,127.0281681
교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(2호선),37.4887673,127.0190234
서초,서울특별시 서초구 서초동 1748-5 서초역,37.4927648,127.0105414
방배,서울특별시 서초구 방배동 912-14 방배역,37.4812965,126.9973202
사당,서울특별시 동작구 사당동 1129 사당역(2호선),37.4765394,126.9816401
낙성대,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,37.4711007,126.95999
서울대입구(관악구청),서울특별시 관악구 봉천동 979-2 서울대입구역사,37.4811133,126.9526344
봉천,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,37.4825178,126.941481
신림,서울특별시 관악구 신림동 1467-10 2호선 신림역사,37.4897586,126.9230375
신대방,서울특별시 동작구 신대방동 643-1 신대방역 2호선,37.487344,126.9129889
구로디지털단지,서울특별시 구로구 구로동 810-3 구로디지털단지역,37.4849804,126.90122
대림(구로구청),서울특별시 구로구 구로동 1204 대림역(2호선),37.4952642,126.8938131
신도림,서울특별시 구로구 신도림동 460-26 2호선 신도림역,37.5088341,126.8912091
문래,서울특별시 영등포구 문래동3가 68-1문래역,37.5178873,126.8947513
영등포구청,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),37.5248203,126.8959946
당산,서울특별시 영등포구 당산동 6가 323-1 당산역,37.5349309,126.9027301
합정,서울특별시 마포구 서교동 393 합정역(2호선),37.5500077,126.9145039
홍대입구,서울특별시 마포구 동교동 165 홍대입구역,37.55692,126.92415
신촌,서울특별시 마포구 노고산동 31-11 신촌역,37.5551357,126.9368898
이대,서울특별시 마포구 염리동 8-85 이대역,37.5568129,126.9477118
아현,서울특별시 마포구 아현동 354-23 아현역,37.5558896,126.9556609
충정로(경기대입구),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),37.5594926,126.9638176
용답,서울특별시 성동구 용답동 127 용답역,37.562132,127.0508327
신답,서울특별시 성동구 용답동 129-2 신답역,37.569889,127.04701
용두(동대문구청),서울특별시 동대문구 용두동 47-1 용두역,37.5738576,127.0379896
도림천,서울특별시 구로구 신도림동 323-16 도림천역,37.51447,126.88264
양천구청,서울특별시 양천구 신정동 276-7 양천구청역,37.512332,126.865649
신정네거리,서울특별시 양천구 신정동 1231 신정네거리역,37.5183163,126.8535941
까치산,서울특별시 강서구 화곡동 662-5 까치산역,37.5325506,126.8463214
지축,경기도 고양시 덕양구 지축동 818-64 3호선 지축역,37.648114,126.913746
구파발,서울특별시 은평구 진관동 67-26 3호선 구파발역사무소,37.636581,126.918833
연신내,서울특별시 은평구 갈현동 397 연신내역(3호선),37.6188881,126.920832
불광,서울특별시 은평구 대조동 14-1 불광역(3호선),37.6100982,126.9301955
녹번,서울특별시 은평구 녹번동 55 지하철3호선 녹번역,37.6009184,126.9357503
홍제,서울특별시 서대문구 홍제동 161-1 홍제역,37.5872664,126.9458373
무악재,서울특별시 서대문구 홍제동 26-1 무악재역,37.5816646,126.9517492
독립문,서울특별시 서대문구 현저동 101 독립문역,37.5718949,126.9571103
경복궁(정부서울청사),서울특별시 종로구 적선동 81-1 3호선 경복궁역,37.5758199,126.9730579
안국,서울특별시 종로구 안국동 155-2 3호선 안국역,37.576556,126.985472
충무로,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",37.5611591,126.994398
동대입구,서울특별시 중구 장충동2가 199-3 동대입구역 3호선,37.5591753,127.005064
약수,서울특별시 중구 신당동 369-44 약수역(3호선),37.5543795,127.0110164
금호,서울특별시 성동구 금호동4가 1470 금호역,37.5480381,127.0158826
옥수,서울특별시 성동구 옥수동 168-1 옥수역,37.5398948,127.0172208
압구정,서울특별시 강남구 신사동 668 압구정역,37.5235264,127.0283255
신사,서울특별시 강남구 신사동 667 신사역,37.5163915,127.0203073
잠원,서울특별시 서초구 잠원동 100-1 잠원역,37.51296,127.011611
고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),37.5041299,127.0030692
남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30 남부터미널역,37.484918,127.01629
양재(서초구청),서울특별시 서초구 서초동 1366-9 양재역,37.4843603,127.0341755
매봉,서울특별시 강남구 도곡동 179-2 매봉역,37.487035,127.046918
도곡,서울특별시 강남구 도곡동 339-2 도곡역,37.4908245,127.0553064
대치,서울특별시 강남구 대치동 317-3 대치역,37.494569,127.063446
학여울,서울특별시 강남구 대치동 514-3 학여울역,37.496683,127.070549
대청,서울특별시 강남구 일원동 700-9 대청역,37.493601,127.079526
일원,서울특별시 강남구 일원동 717 일원역,37.4839534,127.0844127
수서,서울특별시 강남구 수서동 728 수서역,37.4873499,127.1018416
가락시장,서울특별시 송파구 가락동 184-23 가락시장역,37.49297,127.11801
경찰병원,서울특별시 송파구 가락동 10-15 경찰병원역,37.495701,127.124206
오금,서울특별시 송파구 오금동 44-2 오금역,37.5020632,127.1280374
당고개,서울특별시 노원구 상계동 111 당고개역,37.67052,127.07944
상계,서울특별시 노원구 상계동 156-203 상계역,37.6610953,127.0735256
노원,서울특별시 노원구 상계동 602-5 노원역(4호선),37.6564844,127.0640737
창동,서울특별시 도봉구 창동 135-1 창동역,37.6531856,127.0481139
쌍문,서울특별시 도봉구 창동 703-4 쌍문역,37.652819,127.0368132
수유(강북구청),서울특별시 강북구 수유동 140 수유역,37.6397753,127.0272077
미아(서울사이버대학),서울특별시 강북구 미아동 194-1 미아역,37.626402,127.02615
미아사거리,서울특별시 강북구 미아동 66-1 미아사거리역,37.6151041,127.0300461
길음,서울특별시 성북구 길음동 877-66 길음역,37.6032254,127.0249647
성신여대입구(돈암),서울특별시 성북구 동선동4가 1 성신여대입구역,37.59302,127.01648
한성대입구(삼선교),서울특별시 성북구 삼선동1가 14 한성대입구역,37.5880209,127.0057966
혜화,서울특별시 종로구 명륜4가 96-5 4호선 혜화역,37.582089,127.00191
명동,서울특별시 중구 충무로2가 109-2 명동역 4호선,37.5609892,126.9861868
회현(남대문시장),서울특별시 중구 남창동 64-1 회현역 4호선,37.5582441,126.9757315
서울역,서울특별시 중구 용산구 동자동 14-151 서울역(4호선),37.5536067,126.9696195
숙대입구(갈월),서울특별시 용산구 갈월동 16-7 숙대입구역,37.54554,126.97169
삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),37.5350315,126.9734515
신용산,서울특별시 용산구 한강로2가 181 4호선 신용산역,37.529187,126.967886
이촌(국립중앙박물관),서울특별시 용산구 용산동5가 17-112 4호선 이촌역,37.5222735,126.9747217
동작(현충원),서울특별시 동작구 동작동 327-1 4호선 동작역,37.502825,126.980384
총신대입구(이수),서울특별시 동작구 사당동 736-1 총신대역4호선,37.4874887,126.9822238
남태령,서울특별시 서초구 방배동 2909 남태령역,37.4642975,126.9892769
방화,서울특별시 강서구 방화동 829-15 방화역,37.5772156,126.8126263
개화산,서울특별시 강서구 방화동 846 개화산역,37.572455,126.806839
김포공항,서울특별시 강서구 방화동 886 김포공항역,37.5667733,126.8025118
송정,서울특별시 강서구 공항동 29-5 송정역,37.561401,126.810935
마곡,서울특별시 강서구 가양동 530-6 마곡역,37.5619185,126.826919
발산,서울특별시 강서구 가양동 967-3 발산역,37.558683,126.837595
우장산,서울특별시 강서구 화곡동 1089-3 우장산역,37.548783,126.836334
화곡,서울특별시 강서구 화곡동 1089-54 화곡역,37.5410793,126.8408434
신정(은행정),서울특별시 양천구 신정동 1090 신정역,37.524987,126.856181
목동,서울특별시 양천구 목동 926-3 목동역,37.52606,126.8654311
오목교(목동운동장앞),서울특별시 양천구 목동 406-30 오목교역,37.5246,126.8743362
양평,서울특별시 영등포구 양평동2가 33-79 양평역,37.5251429,126.8860734
영등포시장,서울특별시 영등포구 영등포동5가 62-1 영등포시장역,37.5217057,126.9053112
신길,서울특별시 영등포구 영등포동1가 35 신길역,37.51792,126.91419
여의도,서울특별시 영등포구 여의도동 3 여의도역,37.5217991,126.9244663
여의나루,서울특별시 영등포구 여의도동 84-4 여의나루역,37.52673,126.93294
마포,서울특별시 마포구 도화동 160 마포역,37.5397244,126.9459616
공덕,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)",37.5474824,126.9574361
애오개,서울특별시 마포구 아현동 612 애오개역,37.5536193,126.9567497
서대문,서울특별시 종로구 평동 210 서대문역,37.5661698,126.9669625
광화문(세종문화회관),서울특별시 종로구 세종로 1-90 광화문역,37.5696765,126.976177
종로3가(탑골공원),서울특별시 종로구 낙원동 126 종로3가역(5호선),37.570432,126.99219
청구,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",37.5591145,127.0131005
신금호,서울특별시 성동구 금호동2가 223-1 신금호역,37.554468,127.020794
행당,서울특별시 성동구 행당동 317-241 행당역,37.557402,127.029637
마장,서울특별시 성동구 마장동 772 마장역,37.5660505,127.0429223
답십리,서울특별시 성동구 용답동 99 답십리역,37.5668422,127.0526017
장한평,서울특별시 동대문구 장안동 472-3 장한평역,37.56199,127.06516
군자(능동),"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",37.5569984,127.079719
아차산(어린이대공원후문),서울특별시 광진구 능동 256-16 아차산역,37.5528109,127.0889706
광나루(장신대),서울특별시 광진구 광장동 237 광나루역,37.5454285,127.1036523
천호(풍납토성),"서울특별시 강동구 천호동 455 천호역(5, 8호선)",37.5385777,127.1234213
강동,서울특별시 강동구 천호동 447 강동역,37.5356924,127.1340676
길동,서울특별시 강동구 길동 378 길동역,37.5383746,127.1402046
굽은다리(강동구민회관앞),서울특별시 강동구 명일동 345-12 굽은다리역,37.54619,127.14283
명일,서울특별시 강동구 명일동 312 명일역,37.5513169,127.1439955
고덕,서울특별시 강동구 고덕동 310 고덕역,37.5556248,127.1538766
상일동,서울특별시 강동구 상일동 148 상일동역,37.5528183,127.1568023
둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역,37.52802,127.13667
올림픽공원(한국체대),서울특별시 송파구 방이동 89-28 올림픽공원역,37.516628,127.13109
방이,서울특별시 송파구 방이동 217-2 방이역,37.50828,127.1256705
개롱,서울특별시 송파구 오금동 165-2 개롱역,37.4979912,127.135763
거여,서울특별시 송파구 거여동 20-14 거여역,37.493422,127.143597
마천,서울특별시 송파구 마천동 307-4 마천역,37.4946944,127.1521944
응암,서울특별시 은평구 역촌동 85-41 응암역,37.5986299,126.9155626
역촌,서울특별시 은평구 녹번동 144-69 역촌역,37.6059994,126.9229527
독바위,서울특별시 은평구 불광동 13-33 독바위역,37.618397,126.933056
구산,서울특별시 은평구 구산동 1 구산역,37.6112095,126.9172389
새절(신사),서울특별시 은평구 신사동 337-5 새절역,37.5910797,126.9132724
증산(명지대앞),서울특별시 은평구 증산동 199-8 증산역,37.5836921,126.9092563
디지털미디어시티,서울특별시 은평구 수색동 37-36 디지털미디어시티역,37.5779636,126.9004205
월드컵경기장(성산),서울특별시 마포구 성산동 420 월드컵경기장역,37.569656,126.899058
마포구청,서울특별시 마포구 성산동 592 마포구청역,37.5649979,126.9015161
망원,서울특별시 마포구 망원동 378 망원역,37.5557572,126.909907
상수,서울특별시 마포구 상수동 309-10 상수역,37.5466338,126.9226203
광흥창(서강),서울특별시 마포구 창전동 145-17 광흥창역,37.5474463,126.9319256
대흥(서강대앞),서울특별시 마포구 대흥동 128-1 대흥역,37.5477312,126.9423543
효창공원앞,서울특별시 용산구 효창동 80 효창공원앞역,37.539298,126.961356
녹사평(용산구청),서울특별시 용산구 용산동 4가 4 녹사평역,37.5347919,126.9870163
이태원,서울특별시 용산구 이태원동 119-23 이태원역,37.5345103,126.9946564
한강진,서울특별시 용산구 한남동 726-494 한강진역,37.54072,127.00199
버티고개,서울특별시 중구 신당동 366-454 버티고개역,37.5478919,127.0071227
창신,서울특별시 종로구 창신동 20-8 창신역,37.5795663,127.0146945
보문,서울특별시 성북구 보문동 1가 127-1 보문역,37.5855633,127.0201782
안암(고대병원앞),서울특별시 성북구 안암동5가 146-1 안암역,37.586051,127.0293623
고려대(종암),서울특별시 성북구 종암동 29-18 고려대역,37.59041,127.035877
월곡(동덕여대),서울특별시 성북구 하월곡동 35-1 월곡역,37.601925,127.04153
상월곡(한국과학기술연구원),서울특별시 성북구 상월곡동 26-1 상월곡역,37.6062263,127.0483129
돌곶이,서울특별시 성북구 석관동 349-8 돌곶이역,37.6103526,127.056892
석계,서울특별시 노원구 월계동 25-2 석계역,37.615123,127.0669139
태릉입구,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)",37.6172617,127.0749108
화랑대(서울여대입구),서울특별시 노원구 공릉동 285-2 화랑대역,37.6201651,127.0838154
봉화산(서울의료원),서울특별시 중랑구 신내동 643-1 봉화산역,37.6164431,127.0932784
장암,경기도 의정부시 장암동 160-8 장암역,37.6998254,127.0530973
도봉산,서울특별시 도봉구 도봉동 38-3 도봉산역,37.6892434,127.0465149
수락산,서울특별시 노원구 상계동 1132-9 수락산역,37.6771548,127.0553068
마들,서울특별시 노원구 상계동 650 마들역,37.6675895,127.0569843
중계,서울특별시 노원구 중계동 503-3 중계역,37.6425631,127.0652144
하계,서울특별시 노원구 하계동 273-5 하계역,37.6351911,127.0685438
공릉(서울과학기술대),서울특별시 노원구 공릉동 385-4 공릉역,37.6258623,127.0728393
먹골,서울특별시 중랑구 묵동 189-5 먹골역,37.61078,127.077707
중화,서울특별시 중랑구 중화동 50-3 중화역,37.601757,127.079416
상봉(시외버스터미널),서울특별시 중랑구 상봉동 160-7 상봉역,37.5959947,127.0843699
면목,서울특별시 중랑구 면목동 282-6 면목역,37.5891527,127.0873411
사가정,서울특별시 중랑구 면목동 495 사가정역,37.5817877,127.0843345
용마산,서울특별시 중랑구 면목동 1382-13 용마산역,37.573793,127.086818
중곡,서울특별시 광진구 중곡동 273-2 중곡역,37.565535,127.084086
어린이대공원(세종대),서울특별시 광진구 화양동 164-1 어린이대공원역,37.5471129,127.0739401
뚝섬유원지,서울특별시 광진구 자양동 73-2 뚝섬유원지역,37.5321213,127.0668458
청담,서울특별시 강남구 청담동 77-76 청담역,37.5191066,127.0520336
강남구청,서울특별시 강남구 삼성동 111-44 강남구청역,37.5171837,127.041273
학동,서울특별시 강남구 논현동 279-67 학동역,37.5111584,127.0216392
논현,서울특별시 강남구 논현동 280 논현역,37.5106484,127.0218283
반포,서울특별시 서초구 잠원동 103 반포역,37.50796,127.01151
내방,서울특별시 서초구 방배동 874-16 내방역,37.4886653,126.9943636
이수,서울특별시 동작구 사당동 144-4 이수역,37.4849508,126.980963
남성,서울특별시 동작구 사당동 산 25-33 남성역,37.484876,126.970673
숭실대입구(살피재),서울특별시 동작구 상도동 514 숭실대입구역,37.49567,126.95395
상도,서울특별시 동작구 상도1동 702-1 상도역,37.5028025,126.9476764
장승배기,서울특별시 동작구 상도동 26-20 장승배기역,37.5045422,126.9385948
신대방삼거리,서울특별시 동작구 대방동 406-10 신대방삼거리역,37.49952,126.92836
보라매,서울특별시 동작구 대방동 466-51 보라매역,37.4998737,126.9205715
신풍,서울특별시 영등포구 신길동 3599 신풍역,37.5002786,126.9094236
남구로,서울특별시 구로구 구로동 801-95 남구로역,37.4851265,126.8872862
가산디지털단지,서울특별시 금천구 가산동 54-3 가산디지털단지역,37.47962,126.88209
철산,경기도 광명시 철산동 526 철산역,37.4760554,126.8679003
광명사거리,경기도 광명시 광명동 158-211 광명사거리역,37.4792784,126.8547139
천왕,서울특별시 구로구 오류동 174-6 천왕역,37.486686,126.838681
온수(성공회대입구),서울특별시 구로구 온수동 53-1 온수역(7호선),37.492097,126.823042
까치울,경기도 부천시 원미구 춘의동 3-1 까치울역,37.5062327,126.8113591
부천종합운동장,경기도 부천시 원미구 춘의동 15-1 부천종합운동장역,37.505452,126.797498
춘의,경기도 부천시 원미구 춘의동 145 춘의역,37.503366,126.786234
신중동,경기도 부천시 원미구 중동 1140-6 신중동역,37.503064,126.775977
부천시청,경기도 부천시 원미구 중동 1243 부천시청역,37.5045522,126.7640247
상동,경기도 부천시 원미구 상동 633 상동역,37.505814,126.753163
삼산체육관,인천광역시 부평구 삼산동 466 삼산체육관역,37.5068138,126.7368787
굴포천,인천광역시 부평구 삼산동 466 굴포천역,37.507079,126.733071
부평구청,인천광역시 부평구 갈산동 193-45 부평구청역,37.508073,126.72091
암사,서울특별시 강동구 암사동 501 암사역,37.5511435,127.1281759
강동구청,서울특별시 강동구 성내동 319 강동구청역,37.5304447,127.1205399
몽촌토성(평화의문),서울특별시 송파구 신천동 19 몽촌토성역,37.517641,127.11274
석촌,서울특별시 송파구 석촌동 209 석촌역,37.50553,127.10658
송파,서울특별시 송파구 가락동 459-4 송파역,37.499739,127.112201
문정,서울특별시 송파구 문정동 119-4 문정역,37.4881176,127.1211404
장지,서울특별시 송파구 장지동 201-5 장지역,37.4873579,127.1196635
복정,서울특별시 송파구 장지동 596-21 복정역,37.470375,127.126685
산성,경기도 성남시 수정구 신흥동 7-4 산성역,37.4564866,127.1499344
남한산성입구(성남법원•검찰청),경기도 성남시 수정구 단대동 96 남한산성입구역,37.4515319,127.1597885
단대오거리,경기도 성남시 수정구 신흥동 2467 단대오거리역,37.4407489,127.1463494
신흥,경기도 성남시 수정구 신흥동 2467 신흥역,37.4407489,127.1463494
수진,경기도 성남시 수정구 수진동 2205-1 수진역,37.4377757,127.1404296
모란,경기도 성남시 수정구 수진동 4808 모란역,37.4340198,127.1295588
개화,서울특별시 강서구 개화동로8길 19,37.5756494,126.803077
김포공항,서울특별시 강서구 하늘길 지하77,37.56032,126.7982336
공항시장,서울특별시 강서구 방화동로 지하30,37.5665057,126.8112728
신방화,서울특별시 강서구 방화대로 지하301,37.56751,126.8165894
마곡나루,서울특별시 강서구 마곡중앙5로 지하2,37.5531968,126.8298352
양천향교,서울특별시 강서구 양천로 지하341,37.5730864,126.8184811
가양,서울특별시 강서구 양천로 지하485,37.5617266,126.8539792
증미,서울특별시 강서구 양천로 지하560,37.55814,126.860623
등촌,서울특별시 강서구 공항대로 지하529,37.5510957,126.8647359
염창,서울특별시 강서구 공항대로 지하631,37.5533338,126.8510294
신목동,서울특별시 양천구 목동중앙로 지하217,37.5446362,126.8828695
선유도,서울특별시 영등포구 양평로 지하124,37.5381087,126.8933968
당산,서울특별시 영등포구 당산로 229,37.5349309,126.9027301
국회의사당,서울특별시 영등포구 국회대로 지하758,37.5268906,126.9048692
여의도,서울특별시 영등포구 의사당대로 지하101 (여의도동),37.5265758,126.9181878
샛강,서울특별시 영등포구 의사당대로 지하166,37.5169088,126.9288823
노량진,서울특별시 동작구 노량진로 지하130,37.5557966,127.0856678
노들,서울특별시 동작구 노량진로 지하238 (본동),37.5128129,126.9531293
흑석,서울특별시 동작구 현충로 지하90 (흑석동),37.5084759,126.9640414
동작,서울특별시 동작구 현충로 지하220 (동작동),37.5033405,126.9778434
구반포,서울특별시 서초구 신반포로 지하17,37.5065978,127.0054105
신반포,서울특별시 서초구 신반포로 지하105,37.5065978,127.0054105
고속터미널,서울특별시 서초구 신반포로 지하188,37.5047736,127.0049178
사평,서울특별시 서초구 사평대로 지하285,37.50389,127.01569
신논현,서울특별시 강남구 봉은사로 지하102,37.5044123,127.0245064
언주,서울특별시 강남구 봉은사로 201,37.5085884,127.0405045
선정릉,서울특별시 강남구 선릉로 580,37.5070339,127.047777
삼성중앙,서울특별시 강남구 봉은사로 501,37.5085884,127.0405045
봉은사,서울특별시 강남구 봉은사로 601,37.5085884,127.0405045
종합운동장,서울특별시 송파구 올림픽로 23,37.5110736,127.0742826
삼전,서울특별시 송파구 백제고분로 187,37.5046802,127.0877732
석촌고분,서울특별시 송파구 삼학사로 53,37.5019827,127.0965961
석촌,서울특별시 송파구 송파대로 439,37.5067662,127.1054591
송파나루,서울특별시 송파구 백제고분로 446,37.5104281,127.1127462
한성백제,송파구 위례성대로 51,37.5132079,127.1229459
올림픽공원,서울특별시 송파구 양재대로 1233,37.5164494,127.1311068
둔촌오륜,서울특별시 강동구 강동대로 305,37.5200101,127.1406733
중앙보훈병원,서울특별시 강동구 명일로 117,37.5293172,127.1424367